Title,nombre_jornada,Recintos,Date,Status
"Amaro Castro &#8211; Arance Ibieta vs Sica - Pizarro","Fecha 1",,26-03-26,publish
"Vogel &#8211; Silva vs Martiz - Kattan","Fecha 1",,26-03-26,publish
"Álvarez Jara &#8211; Álvarez Velez vs Botero Piedrahita - Verástegui","Fecha 1","Conecta Santa Blanca>Cancha 5",27-03-26,publish
"Eyzaguirre &#8211; Casasempere vs Freyre - Brosky","Fecha 1","Conecta Santa Blanca>Cancha 6",27-03-26,publish
"Giusti &#8211; Rivera vs Hurtado Sotomayor - Martínez Cuadro","Fecha 1","Conecta Santa Blanca>Cancha 7",27-03-26,publish
"Montaner Reyes &#8211; Montaner Covarrubias vs Ponce - Unda","Fecha 1","Conecta Santa Blanca>Cancha 8",27-03-26,publish
"Romero Duarte &#8211; Valenzuela vs Sfeir - Amigo","Fecha 1","Conecta Santa Blanca>Cancha 9",27-03-26,publish
"Valenzuela Niedbalski &#8211; Garcia vs Vargas - Diaz","Fecha 1","Conecta Santa Blanca>Cancha 11",27-03-26,publish
"Vera &#8211; Viel vs Vidal - Benítez","Fecha 1","Conecta Santa Blanca>Cancha 13",27-03-26,publish
"Romero &#8211; Merino vs Amaro Castro - Arance Ibieta","Fecha 2","Conecta Santa Blanca>Cancha 3",08-04-26,future
"Ponce &#8211; Unda vs Vogel - Silva","Fecha 2","Conecta Santa Blanca>Cancha 6",02-04-26,future
"Sica &#8211; Pizarro vs Álvares Jara - Álvarez Velez","Fecha 2","Conecta Santa Blanca>Cancha 7",02-04-26,future
"Martiz &#8211; Kattan vs Eyzaguirre - Casasempere","Fecha 2","Conecta Santa Blanca>Cancha 8",02-04-26,future
"Botero Piedrahita &#8211; Verástegui vs Giusti - Rivera","Fecha 2","Conecta Santa Blanca>Cancha 9",02-04-26,future
"Freyre &#8211; Brosky vs Romero Duarte - Valenzuela","Fecha 2","Conecta Santa Blanca>Cancha 10",02-04-26,future
"Hurtado Sotomayor &#8211; Martínez Cuadro vs Valenzuela Niedbalski - Garcia","Fecha 2","Conecta Santa Blanca>Cancha 2",08-04-26,future
"Sfeir &#8211; Amigo vs Vera - Viel","Fecha 2","Conecta Santa Blanca>Cancha 12",02-04-26,future
"Vargas &#8211; Diaz vs Vidal - Benítez","Fecha 2","Conecta Santa Blanca>Cancha 13",02-04-26,future
"Montaner Reyes &#8211; Montaner Covarrubias vs Vogel - Silva","Fecha 3","Conecta Santa Blanca>Cancha 5",10-04-26,future
"Romero &#8211; Merino vs Álvares Jara - Álvarez Velez","Fecha 3","Conecta Santa Blanca>Cancha 6",10-04-26,future
"Ponce &#8211; Unda vs Eyzaguirre - Casasempere","Fecha 3","Conecta Santa Blanca>Cancha 7",10-04-26,future
"Sica &#8211; Pizarro vs Giusti - Rivera","Fecha 3","Conecta Santa Blanca>Cancha 8",10-04-26,future
"Martiz &#8211; Kattan vs Romero Duarte - Valenzuela","Fecha 3","Conecta Santa Blanca>Cancha 9",10-04-26,future
"Botero Piedrahita &#8211; Verástegui vs Valenzuela Niedbalski - Garcia","Fecha 3","Conecta Santa Blanca>Cancha 10",10-04-26,future
"Freyre &#8211; Brosky vs Vera - Viel","Fecha 3","Conecta Santa Blanca>Cancha 11",10-04-26,future
"Hurtado Sotomayor &#8211; Martínez Cuadro vs Vidal - Benítez","Fecha 3","Conecta Santa Blanca>Cancha 12",10-04-26,future
"Sfeir &#8211; Amigo vs Vargas - Diaz","Fecha 3","Conecta Santa Blanca>Cancha 13",10-04-26,future
"Amaro Castro &#8211; Arance Ibieta vs Álvares Jara - Álvarez Velez","Fecha 4","Conecta Santa Blanca>Cancha 5",17-04-26,future
"Montaner Reyes &#8211; Montaner Covarrubias vs Eyzaguirre - Casasempere","Fecha 4","Conecta Santa Blanca>Cancha 6",17-04-26,future
"Romero &#8211; Merino vs Giusti - Rivera","Fecha 4","Conecta Santa Blanca>Cancha 7",17-04-26,future
"Ponce &#8211; Unda vs Romero Duarte - Valenzuela","Fecha 4","Conecta Santa Blanca>Cancha 8",17-04-26,future
"Sica &#8211; Pizarro vs Valenzuela Niedbalski - Garcia","Fecha 4","Conecta Santa Blanca>Cancha 9",17-04-26,future
"Martiz &#8211; Kattan vs Vera - Viel","Fecha 4","Conecta Santa Blanca>Cancha 10",17-04-26,future
"Botero Piedrahita &#8211; Verástegui vs Vidal - Benítez","Fecha 4","Conecta Santa Blanca>Cancha 11",17-04-26,future
"Freyre &#8211; Brosky vs Vargas - Diaz","Fecha 4","Conecta Santa Blanca>Cancha 12",17-04-26,future
"Hurtado Sotomayor &#8211; Martínez Cuadro vs Sfeir - Amigo","Fecha 4","Conecta Santa Blanca>Cancha 13",17-04-26,future
"Vogel &#8211; Silva vs Eyzaguirre - Casasempere","Fecha 5","Conecta Santa Blanca>Cancha 5",24-04-26,future
"Amaro Castro &#8211; Arance Ibieta vs Giusti - Rivera","Fecha 5","Conecta Santa Blanca>Cancha 6",24-04-26,future
"Montaner Reyes &#8211; Montaner Covarrubias vs Romero Duarte - Valenzuela","Fecha 5","Conecta Santa Blanca>Cancha 7",24-04-26,future
"Romero &#8211; Merino vs Valenzuela Niedbalski - Garcia","Fecha 5","Conecta Santa Blanca>Cancha 8",24-04-26,future
"Ponce &#8211; Unda vs Vera - Viel","Fecha 5","Conecta Santa Blanca>Cancha 9",24-04-26,future
"Sica &#8211; Pizarro vs Vidal - Benítez","Fecha 5","Conecta Santa Blanca>Cancha 10",24-04-26,future
"Martiz &#8211; Kattan vs Vargas - Diaz","Fecha 5","Conecta Santa Blanca>Cancha 11",24-04-26,future
"Botero Piedrahita &#8211; Verástegui vs Sfeir - Amigo","Fecha 5","Conecta Santa Blanca>Cancha 12",24-04-26,future
"Freyre &#8211; Brosky vs Hurtado Sotomayor - Martínez Cuadro","Fecha 5","Conecta Santa Blanca>Cancha 13",24-04-26,future
"Álvares Jara &#8211; Álvarez Velez vs Giusti - Rivera","Fecha 6","Conecta Santa Blanca>Cancha 5",30-04-26,future
"Vogel &#8211; Silva vs Romero Duarte - Valenzuela","Fecha 6","Conecta Santa Blanca>Cancha 6",30-04-26,future
"Amaro Castro &#8211; Arance Ibieta vs Valenzuela Niedbalski - Garcia","Fecha 6","Conecta Santa Blanca>Cancha 7",30-04-26,future
"Montaner Reyes &#8211; Montaner Covarrubias vs Vera - Viel","Fecha 6","Conecta Santa Blanca>Cancha 8",30-04-26,future
"Romero &#8211; Merino vs Vidal - Benítez","Fecha 6","Conecta Santa Blanca>Cancha 9",30-04-26,future
"Ponce &#8211; Unda vs Vargas - Diaz","Fecha 6","Conecta Santa Blanca>Cancha 10",30-04-26,future
"Sica &#8211; Pizarro vs Sfeir - Amigo","Fecha 6","Conecta Santa Blanca>Cancha 11",30-04-26,future
"Martiz &#8211; Kattan vs Hurtado Sotomayor - Martínez Cuadro","Fecha 6","Conecta Santa Blanca>Cancha 12",30-04-26,future
"Botero Piedrahita &#8211; Verástegui vs Freyre - Brosky","Fecha 6","Conecta Santa Blanca>Cancha 13",30-04-26,future
"Eyzaguirre &#8211; Casasempere vs Romero Duarte - Valenzuela","Fecha 7","Conecta Santa Blanca>Cancha 5",08-05-26,future
